incident_county,incident_acres_burned,longitude,latitude
Yolo,84,-122.04726,38.8866
Kern,221,-118.21793,35.68313
Ventura,78,-119.39619,36.92244
Kern,138,-118.94811,35.60748
Fresno,123,-119.5792,37.0099
San Diego,100,-116.7945,32.9612
Lake,69,-122.7891,39.0863
Siskiyou,26,-122.59328,41.96191
Fresno,2241,-119.50507,37.01591
Calaveras,57,-120.64241,37.98171
Solano,57,-122.02564,38.33475
San Diego,1245,-117.35093,33.393
Siskiyou,23,-122.36924,41.71847
Monterey,100,-120.81081,35.85093
Monterey,132127,-121.89938,36.45994
Orange,150,-117.5221,33.6542
San Bernardino,20,-117.4415,34.25858
Butte,850,-121.571,39.6871
Mendocino,50,-123.5044,39.7299
San Bernardino,50,-117.3189,34.3183
Nevada,38,-120.51887,39.39051
Shasta,75,-122.4096,40.68192
El Dorado,50,-121.00299,38.79549
San Diego,28,-116.9571,33.00056
Contra Costa,40,-122.1885,38.01264
Madera,38,-119.4741,37.24006
Tuolumne,32,-120.69521,37.81434
Santa Clara,114,-121.79669,37.41896
San Diego,35,-117.14547,33.22558
Tehama,80,-122.26736,40.19611
Butte,550,-121.7192,39.6708
Yolo,5731,-122.06788,38.52513
Kern,100,-118.60344,35.24504
Madera,85,-119.7738,37.3228
Amador,26,-120.8657,38.2581
Santa Clara,25,-121.68577,37.06531
San Bernardino,8110,-117.27338,34.28771
Lake,45,-120.51057,36.09974
Lake,36,-122.26015,38.68403
Fresno,7050,-120.51057,36.09974
San Bernardino,36274,-117.49342,34.30372
Shasta,35,-122.47091,40.61213
Humboldt,21,-123.77832,40.9878
San Luis Obispo,46344,-120.98316,35.70595
Lake,3929,-122.60664,38.89741
Kern,29322,-118.5678,35.7506
Humboldt,23,-124.05804,40.4572
Sacramento,40,-121.1309,38.558
Alpine,0,-120.00606,38.57554
Fresno,158,-119.34487,36.84479
Santa Clara,25,-121.69784,37.11831
Yuba,400,-121.38775,36.16965
Mendocino,36,-123.4267011,39.8748511
Kern,304,-118.5097,35.4976
Siskiyou,33867,-123.118,41.851
San Joaquin,147,-121.36665,37.62215
Humboldt,599,-123.82268,41.28486
Lassen,2575,-120.7845,40.3915
Butte,88,-121.71662,39.79547
Calaveras,450,-120.6381,38.1874
Tulare,395,-118.73906,36.1648
Siskiyou,710,-122.611,41.7813
Modoc,380,-120.9066,41.4657
Kern,518,-118.7212,35.2013
Lake,20,-122.9148951,39.1408865
Siskiyou,32,-122.7933,41.6314
Butte,30,-121.6998,39.8851
Tehama,360,-122.1295,40.30594
Del Norte,150,-120.029626,37.75972
Nevada,47,-121.05948,39.20427
Inyo,5443,-118.95309,37.75985
Modoc,2652,-120.3178,41.2649
Santa Barbara,12518,-120.54421,34.63445
Santa Barbara,215,-120.55297,34.75134
Butte,130,-121.42647,39.4403
Sutter,300,-121.78003,39.188321
Amador,45,-120.8416,38.5212
Tuolumne,1080,-120.32484,37.79635
Fresno,70,-119.5327,36.6543
Shasta,100,-121.93923,40
Sonoma,1547,-122.82895,38.80017
Plumas,248,-121.32,39.92
Santa Clara,4474,-121.85318,37.10632
Fresno,2100,-119.25959,36.94536
El Dorado,176,-120.10744,38.93449
San Diego,28,-117.158475,33.254355
Los Angeles,4824,-118.335,34.31
Tulare,10,-118.551,36.217
Tulare,4347,-118.551,35.984
Fresno,30,-119.94083,35.92436
Butte,0,-121.55633,39.51158
Shasta,45,-121.85645,40.48712
