incident_county,incident_acres_burned,longitude,latitude
Mendocino,151,-123.21318,38.89695
San Diego,1100,-117.47166,33.37579
Ventura,289,-119.17808,34.29475
San Luis Obispo,1672,-120.00521,35.35146
Ventura,803,-118.77347,34.46182
San Diego,100,-116.7862,32.73044
San Diego,90,-116.690712,32.580882
Placer,40,-121.378879,38.733421
Sacramento,5042,-121.201927,38.520981
Fresno,533,-119.36572,36.82276
Mariposa,191,-120.08522,37.40827
Riverside,10,-117.461925,33.776033
Mendocino,34,-80.49163,39.14783
Santa Barbara,696,-120.28867,34.63309
San Luis Obispo,445,-120.69959,35.17977
San Benito,895,-120.92925,36.3011
San Luis Obispo,18,-120.56823,35.40953
Calaveras,1455,-120.72958,38.07741
Butte,95,-121.60037,39.52408
San Joaquin,89,-121.20828,38.23432
Tehama,68,-122.205628,40.000132
Monterey,83,-121.42113,35.9497
Kern,165,-118.6894,35.27678
Placer,110,-121.33956,38.89178
Tulare,130,-118.845123,36.37085
Butte,13,-121.45372,39.37577
Tulare,217,-118.8613,35.89133
Butte,89,-121.53976,39.36894
Modoc,11,-120.54161,41.5017
Tuolumne,10,-120.20316,38.08264
Monterey,195,-121.08753,35.90835
Monterey,52,-121.57407,36.69845
Tulare,1050,-119.19677,36.5537
Monterey,338,-120.87858,35.9789
San Luis Obispo,15,-120.68326,35.62906
Fresno,19,-119.33439,36.97511
Lassen,563,-120.28147,40.43203
Lassen,210,-120.04635,40.44793
Riverside,12,-115.96594,33.27665
Stanislaus,202,-121.18355,37.46265
San Luis Obispo,263,-119.88048,35.30742
Mono,280,-119.00289,38.22554
Riverside,59,-116.750925,33.565093
Merced,2192,-121.21912,37.06641
San Luis Obispo,33,-120.96759,35.69993
Lassen,12,-121.2199939,41.0336731
Butte,136,-121.4319,39.3784
Trinity,62,-123.437051,40.791509
Kern,2900,-118.702732,35.310132
Los Angeles,648,-118.324601,34.542742
Madera,597,-119.9252132,36.9678542
San Luis Obispo,157,-120.053275,35.393889
San Bernardino,62,-117.124353,34.182436
Alameda,108,-121.876277,37.536015
San Luis Obispo,588,-120.00485,35.351065
Santa Clara,343,-121.567505,37.166733
Merced,100,-121.086625,37.091637
Fresno,67,-119.116536,36.750186
Santa Clara,5513,-121.501532,37.034839
Los Angeles,1525,-118.328877,34.467915
Contra Costa,298,-122.25471,38.02996
San Joaquin,150,-121.53524,37.71984
Solano,75,-122.12447,38.21614
El Dorado,32,-120.941267,38.58488
Colusa,25,-122.65813,39.35498
Riverside,10,-116.7464168,33.551838
Santa Clara,31,-121.79349,37.37731
Madera,108,-119.50307,37.1487
Riverside,2,-117.108421,33.623968
Butte,33,-121.37994,39.43227
Riverside,91,-116.83552,33.48429
Fresno,29667,-120.52193,36.09493
San Benito,1508,-121.04401,36.653
Mariposa,48,-119.95807,37.42319
Yuba,500,-121.33589,39.10112
Alameda,253,-121.59374,37.64044
San Bernardino,119,-116.97557,34.39464
Siskiyou,557,-122.69296,41.79319
Lassen,9564,-120.86375,40.420886
Shasta,340,-122.792645,40.462621
Lassen,22634,-120.923293,41.11037
Humboldt,100,-123.6986222,41.1849445
Butte,30,-121.604579,39.506597
Contra Costa,75,-121.620238,37.977309
San Bernardino,71,-117.192142,34.135626
Madera,135,-119.932391,37.118075
Mono,120,-118.711135,37.518879
"Siskiyou, Modoc",83261,-121.477,41.699
Riverside,145,-117.033124,33.93327
Colusa,138,-122.359663,39.013591
Riverside,250,-117.429598,34.028116
Sacramento,51,-121.044895,38.420382
Merced,788,-121.101634,37.083806
Los Angeles,321,-118.72004,34.75844
Humboldt,25,-124.19954,40.78804
San Diego,100,-116.77048,32.62212
San Luis Obispo,3022,-120.00521,35.35146
San Bernardino,185,-117.45479,34.25143
Sacramento,730,-121.17197,38.40329
Riverside,104,-117.034461,33.934137
Los Angeles,220,-117.889503,34.17363
Kern,233,-118.7933,35.14357
Tehama,684,-121.6415,40.34659
Los Angeles,178,-118.59699,34.51853
San Luis Obispo,1962,-120.47346,35.43128
El Dorado,36,-121.103299,38.686478
Riverside,52,-116.641846,33.924086
Lassen,6882,-120.44811,40.36764
Colusa,560,-122.48525,39.31313
Los Angeles,120,-118.21608,34.04447
Yuba,600,-121.38178,39.11307
Los Angeles,200,-118.49731,34.3428
Kern,7760,-118.53361,35.43044
Fresno,594,-119.2439,36.90933
San Luis Obispo,280,-120.40457,35.61521
Kern,277,-118.92967,34.93929
Los Angeles,210,-118.46115,-118.46115
Mendocino,177,-123.262437,39.82454
Placer,65,-121.318472,38.81111
Lassen,285,-120.549595,40.590714
Kern,424,-119.444977,34.962524
Los Angeles,31089,-118.452,34.679
San Luis Obispo,183,-119.987565,35.308259
Sacramento,512,-121.172572,38.474502
Los Angeles,4237,-117.910498,34.160265
Butte,110,-121.633994,39.647686
Sierra,47029,-120.143473,39.702438
San Luis Obispo,312,-120.856731,35.472114
Fresno,2121,-120.427342,36.09876
San Luis Obispo,20,-120.801074,35.519723
Glenn,727,-122.427358,39.52452
Monterey,48088,-121.62161,36.60239
"Mendocino, Humboldt, Trinity, Tehama, Glenn, Lake, Colusa",1032648,-122.673,39.776
Nevada,705,-121.100352,39.29241
Glenn,275,-122.5012461,39.555943
Ventura,3000,-118.758965,34.438759
El Dorado,14,-120.876546,38.840068
"Santa Cruz, San Mateo",86509,-122.22275,37.17162
"Santa Clara, Alameda, Contra Costa, San Joaquin, Stanislaus",396624,-121.30435,37.439437
Monterey,6905,-121.68181,36.4463
Mendocino,62,-123.013667,39.276
Calaveras,1789,-120.763258,38.027921
Mendocino,820,-123.2111007,39.8174372
"Napa, Sonoma, Lake, Yolo, Solano",363220,-122.14864,38.48193
"Tehama, Glenn",19609,-122.4393,40.09571
Calaveras,55,-120.85258,38.03106
Tuolumne,2857,-120.312565,37.813779
San Diego,45,-117.328234,33.454896
Santa Clara,143,-121.68465,37.18725
Plumas,29570,-120.757,40.274
Marin,4929,-122.836701,38.018089
San Luis Obispo,53,-120.1243296,35.4335197
Lassen,567,-120.536,40.773
Placer,9,-121.10411,38.8825
Los Angeles,290,-118.36411,34.65979
Madera,688,-119.88673,37.08053
Lake,13,-122.637037,39.012743
"San Bernardino, Riverside",22744,-116.98669,34.08056
San Diego,16390,-116.692705,32.765615
Mendocino,1100,-123.3965,39.4935
Yuba,1311,-121.32361,39.3637
Stanislaus,45,-121.18018,37.46377
Siskiyou,45,-122.84057,41.68229
Siskiyou,50,-123.021635,41.575549
Fresno,1185,-119.027309,37.135474
Siskiyou,2188,-122.847359,41.211022
Santa Barbara,111,-120.491594,34.773809
"Napa, Sonoma",67484,-122.49745,38.56295
"Shasta, Tehama",56338,-122.56656,40.53927
Los Angeles,230,-118.4,34.563
Riverside,227,-117.374419,33.764357
Amador,48,-121.003602,38.49375
Sacramento,20,-121.039236,38.464074
Amador,21,-121.006635,38.424016
Yuba,56,-121.450982,39.181047
Contra Costa,30,-122.104314,37.821737
Calaveras,21,-120.64541,37.98337
San Bernardino,170,-117.138078,34.014728
El Dorado,15,-120.964726,38.659387
Butte,6,-121.54475,39.51694
Humboldt,102,-123.88658,40.55823
Napa,61,-122.37828,38.56184
"Shasta, Tehama",275,-122.39033,40.38869
Shasta,133,-122.18102,40.47646
Shasta,5,-122.342,40.41486
Orange,12466,-117.65719,33.73614
Orange,13964,-117.675067,33.877257
"Riverside, San Bernardino",150,-117.51476,34.03343
Los Angeles,131,-117.778561,34.146195
Riverside,1087,-117.62109,33.893351
Riverside,200,-117.051463,33.773754
Orange,6686,-117.674967,33.743842
Lassen,24,-120.374514,41.591948
Ventura,174,-119.078,34.33622
Riverside,1933,-117.03459,33.93244
Ventura,250,-118.83967,34.20955
Madera,23,-119.51982,37.25086
Santa Cruz,20,-122.10509,37.08931
San Mateo,15,-122.28823,37.18259
Riverside,43,-116.10723,33.52871
